,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX,,
2324,20181022,57.9794,58.2767,56.5918,56.5975,1204690,0.9666,33.3573,26.3055,x,
2325,20181023,56.4984,56.7958,53.5248,55.309,2346810,0.945,24.1767,28.9652,x,
2326,20181024,55.309,56.1019,55.0116,55.0116,1474260,0.9403,14.1299,31.4349,x,
2327,20181025,52.5336,54.7142,52.5336,54.3178,1744120,0.929,8.1708,34.2768,x,
2328,20181026,55.4081,55.4081,53.0292,53.0292,1220360,0.9076,3.1574,36.1852,x,
2329,20181029,52.831,53.4257,52.038,52.4345,1261730,0.8984,0,38.1917,x,
2330,20181030,52.4292,53.8167,52.231,53.723,1337430,0.9211,8.7669,39.6499,x,
2331,20181031,53.7176,56.1954,53.7176,55.1107,1245750,0.9452,25.4228,38.9144,x,
2332,20181101,55.309,55.4081,54.3178,54.516,1221200,0.9356,42.0202,38.2315,x,
2333,20181102,54.5105,55.7989,54.5105,55.7054,1136910,0.9562,62.0202,37.2837,x,
2334,20181105,55.4081,56.0028,55.1107,56.0028,873020,0.9616,82.0202,36.2365,x,
2335,20181106,56.4984,56.4984,55.309,55.309,667710,0.9497,90.8733,34.855,x,
2336,20181107,55.309,55.7054,54.6151,55.0116,668290,0.9446,90.8366,33.9627,x,
2337,20181108,56.1954,56.2945,55.2043,55.2098,575720,0.9483,91.8547,32.6382,x,
2338,20181109,54.7142,55.2098,53.8222,53.8222,885690,0.9248,84.8536,32.1658,x,
2339,20181112,53.5194,54.1141,52.3301,54.1195,687980,0.9304,79.4218,32.3995,x,
2340,20181113,52.8256,53.8167,52.8256,53.1283,601520,0.9142,73.297,32.6165,x,
2341,20181114,53.123,53.8167,52.3301,52.7318,530120,0.9082,67.0214,33.0334,x,
2342,20181115,52.7318,53.1283,52.038,52.9301,828510,0.9122,60.918,33.5471,x,
2343,20181116,53.5194,53.6185,52.6274,52.7318,1227840,0.9094,52.8457,33.5286,x,
2344,20181119,53.5248,53.5248,52.7318,53.5248,1145500,0.9236,49.3167,33.5114,x,
2345,20181120,53.5248,53.5248,52.831,53.3266,1086240,0.9207,47.2927,33.4954,x,
2346,20181121,52.6327,54.9125,52.5336,54.9125,1908000,0.9481,56.9491,32.0631,x,
2347,20181122,54.516,55.0116,54.2186,54.3178,961120,0.9378,61.5309,30.6413,x,
2348,20181123,54.2186,54.516,53.5248,53.5248,897050,0.9237,67.8631,29.8145,x,
2349,20181126,53.5248,53.8222,53.2274,53.5248,673900,0.9238,68.0829,29.2493,x,
2350,20181127,53.9213,54.2186,52.7318,52.9301,1284900,0.9135,66.2628,29.0544,x,
2351,20181128,52.9247,54.6096,52.9247,54.6151,1483680,0.9421,66.2628,28.441,x,
2352,20181129,55.1107,55.9037,54.516,54.516,2360280,0.9397,69.523,26.6177,x,
2353,20181130,54.4169,55.5072,54.3178,54.9125,1430640,0.946,78.2641,25.0874,x,
2354,20181203,56.201,57.4896,55.7054,57.4896,2226730,0.9897,87.0052,24.4406,x,
2355,20181204,57.2856,57.7811,56.5918,57.0931,1367410,0.9823,97.7284,24.0258,x,
2356,20181205,56.4984,57.6878,56.0028,57.2914,2014850,0.9852,96.6502,23.1057,x,
2357,20181206,56.8949,57.4896,56.201,56.3993,2258320,0.9699,91.5533,22.2513,x,
2358,20181207,56.8891,57.1865,56.5918,56.6966,835390,0.9748,86.9373,21.4579,x,
2359,20181210,56.6966,56.8949,56.1019,56.3993,1050910,0.9696,80.6835,20.2327,x,
2360,20181211,56.3993,56.6966,55.7054,56.3002,1119050,0.9677,75.5254,18.8593,x,
2361,20181212,56.7958,57.4896,56.3002,57.4896,1466430,0.9879,74.7455,18.1533,x,
2362,20181213,57.7811,57.8802,57.0874,57.0931,851900,0.9805,76.3841,17.8215,x,
2363,20181214,56.994,57.0931,56.0028,56.0028,880580,0.9617,71.2569,16.6346,x,
2364,20181217,55.5072,55.9037,54.3178,54.3178,1787440,0.933,57.5107,16.7902,x,
2365,20181218,53.6185,55.0061,53.6185,54.6151,1459730,0.9383,46.0129,17.3625,x,
2366,20181219,54.6151,54.9125,53.6239,53.9213,1131780,0.9269,27.871,17.8939,x,
2367,20181220,53.8167,54.7087,53.8167,54.1195,877260,0.9308,13.1337,18.3874,x,
2368,20181221,54.0204,54.0204,53.3266,54.0204,1690120,0.9297,3.6394,19.1715,x,
2369,20181224,54.015,54.4114,52.6274,52.6327,864160,0.9066,3.6394,20.3297,x,
2370,20181225,51.5372,52.5283,50.5461,52.2362,1964060,0.9006,1.921,22.3958,x,
2371,20181226,52.1371,53.0292,52.1371,52.3354,782180,0.9035,2.4929,23.7525,x,
